Cement,Blast Furnace Slag,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate ,Age,Concrete compressive strength,Embodied carbon
332.5,142.5,228,0,932,594,270,40.27,337
332.5,142.5,228,0,932,594,365,41.05,337
198.6,132.4,192,0,978.4,825.5,360,44.3,216
266,114,228,0,932,670,90,47.03,275
380,95,228,0,932,594,365,43.7,378
380,95,228,0,932,594,28,36.45,378
266,114,228,0,932,670,28,45.85,275
198.6,132.4,192,0,978.4,825.5,90,38.07,215
198.6,132.4,192,0,978.4,825.5,28,28.02,215
427.5,47.5,228,0,932,594,270,43.01,420
190,190,228,0,932,670,90,42.33,208
304,76,228,0,932,670,28,47.81,308
139.6,209.4,192,0,1047,806.9,90,39.36,165
342,38,228,0,932,670,365,56.14,342
380,95,228,0,932,594,90,40.56,378
427.5,47.5,228,0,932,594,180,41.84,420
139.6,209.4,192,0,1047,806.9,28,28.24,165
139.6,209.4,192,0,1047,806.9,3,8.06,165
139.6,209.4,192,0,1047,806.9,180,44.21,165
380,95,228,0,932,594,270,41.15,378
342,38,228,0,932,670,180,52.12,342
427.5,47.5,228,0,932,594,28,37.43,420
304,76,228,0,932,670,365,55.26,308
266,114,228,0,932,670,365,52.91,275
198.6,132.4,192,0,978.4,825.5,180,41.72,215
190,190,228,0,932,670,365,53.69,208
237.5,237.5,228,0,932,594,270,38.41,253
237.5,237.5,228,0,932,594,28,30.08,253
332.5,142.5,228,0,932,594,90,37.72,337
237.5,237.5,228,0,932,594,180,36.25,253
342,38,228,0,932,670,90,50.46,342
427.5,47.5,228,0,932,594,365,43.7,420
237.5,237.5,228,0,932,594,365,39,253
427.5,47.5,228,0,932,594,90,41.54,420
427.5,47.5,228,0,932,594,7,35.08,420
380,95,228,0,932,594,180,40.76,378
237.5,237.5,228,0,932,594,7,26.26,253
380,95,228,0,932,594,7,32.82,378
332.5,142.5,228,0,932,594,180,39.78,337
190,190,228,0,932,670,180,46.93,208
237.5,237.5,228,0,932,594,90,33.12,253
304,76,228,0,932,670,90,49.19,308
139.6,209.4,192,0,1047,806.9,7,14.59,165
198.6,132.4,192,0,978.4,825.5,7,14.64,215
198.6,132.4,192,0,978.4,825.5,3,9.13,215
304,76,228,0,932,670,180,50.95,308
332.5,142.5,228,0,932,594,28,33.02,337
304,76,228,0,932,670,270,54.38,308
266,114,228,0,932,670,270,51.73,275
190,190,228,0,932,670,270,50.66,208
266,114,228,0,932,670,180,48.7,275
342,38,228,0,932,670,270,55.06,342
139.6,209.4,192,0,1047,806.9,360,44.7,165
332.5,142.5,228,0,932,594,7,30.28,337
190,190,228,0,932,670,28,40.86,208
374,189.2,170.1,10.1,926.1,756.7,3,34.4,398
313.3,262.2,175.5,8.6,1046.9,611.8,3,28.8,342
425,106.3,153.5,16.5,852.1,887.1,3,33.4,454
425,106.3,151.4,18.6,936,803.7,3,36.3,459
375,93.8,126.6,23.4,852.1,992.6,3,29,422
475,118.8,181.1,8.9,852.1,781.5,3,37.8,486
469,117.2,137.8,32.2,852.1,840.5,3,40.2,525
425,106.3,153.5,16.5,852.1,887.1,3,33.4,454
388.6,97.1,157.9,12.1,852.1,925.7,3,28.1,412
425,106.3,153.5,16.5,852.1,887.1,3,33.4,454
318.8,212.5,155.7,14.3,852.1,880.4,3,25.2,357
401.8,94.7,147.4,11.4,946.8,852.1,3,41.1,424
362.6,189,164.9,11.6,944.7,755.8,3,35.3,391
323.7,282.8,183.8,10.3,942.7,659.9,3,28.3,356
379.5,151.2,153.9,15.9,1134.3,605,3,28.6,413
362.6,189,164.9,11.6,944.7,755.8,3,35.3,391
286.3,200.9,144.7,11.2,1004.6,803.7,3,24.4,321
362.6,189,164.9,11.6,944.7,755.8,3,35.3,391
439,177,186,11.1,884.9,707.9,3,39.3,459
389.9,189,145.9,22,944.7,755.8,3,40.6,436
362.6,189,164.9,11.6,944.7,755.8,3,35.3,391
337.9,189,174.9,9.5,944.7,755.8,3,24.1,364
374,189.2,170.1,10.1,926.1,756.7,7,46.2,398
313.3,262.2,175.5,8.6,1046.9,611.8,7,42.8,343
425,106.3,153.5,16.5,852.1,887.1,7,49.2,455
425,106.3,151.4,18.6,936,803.7,7,46.8,459
375,93.8,126.6,23.4,852.1,992.6,7,45.7,422
475,118.8,181.1,8.9,852.1,781.5,7,55.6,486
469,117.2,137.8,32.2,852.1,840.5,7,54.9,525
425,106.3,153.5,16.5,852.1,887.1,7,49.2,455
388.6,97.1,157.9,12.1,852.1,925.7,7,34.9,412
318.8,212.5,155.7,14.3,852.1,880.4,7,33.4,357
401.8,94.7,147.4,11.4,946.8,852.1,7,54.1,424
362.6,189,164.9,11.6,944.7,755.8,7,55.9,391
323.7,282.8,183.8,10.3,942.7,659.9,7,49.8,356
379.5,151.2,153.9,15.9,1134.3,605,7,47.1,413
362.6,189,164.9,11.6,944.7,755.8,7,55.9,391
286.3,200.9,144.7,11.2,1004.6,803.7,7,38,321
439,177,186,11.1,884.9,707.9,7,56.1,459
389.9,189,145.9,22,944.7,755.8,7,59.09,436
362.6,189,164.9,11.6,944.7,755.8,7,22.9,391
337.9,189,174.9,9.5,944.7,755.8,7,35.1,364
374,189.2,170.1,10.1,926.1,756.7,28,61.09,398
313.3,262.2,175.5,8.6,1046.9,611.8,28,59.8,343
425,106.3,153.5,16.5,852.1,887.1,28,60.29,455
425,106.3,151.4,18.6,936,803.7,28,61.8,459
375,93.8,126.6,23.4,852.1,992.6,28,56.7,422
475,118.8,181.1,8.9,852.1,781.5,28,68.3,486
469,117.2,137.8,32.2,852.1,840.5,28,66.9,525
388.6,97.1,157.9,12.1,852.1,925.7,28,50.7,412
318.8,212.5,155.7,14.3,852.1,880.4,28,55.5,357
401.8,94.7,147.4,11.4,946.8,852.1,28,68.5,424
362.6,189,164.9,11.6,944.7,755.8,28,71.3,391
323.7,282.8,183.8,10.3,942.7,659.9,28,74.7,356
379.5,151.2,153.9,15.9,1134.3,605,28,52.2,413
362.6,189,164.9,11.6,944.7,755.8,28,71.3,391
286.3,200.9,144.7,11.2,1004.6,803.7,28,67.7,321
362.6,189,164.9,11.6,944.7,755.8,28,71.3,391
439,177,186,11.1,884.9,707.9,28,66,459
389.9,189,145.9,22,944.7,755.8,28,74.5,436
362.6,189,164.9,11.6,944.7,755.8,28,71.3,391
337.9,189,174.9,9.5,944.7,755.8,28,49.9,364
374,189.2,170.1,10.1,926.1,756.7,56,63.4,398
313.3,262.2,175.5,8.6,1046.9,611.8,56,64.9,343
425,106.3,153.5,16.5,852.1,887.1,56,64.3,455
425,106.3,151.4,18.6,936,803.7,56,64.9,459
375,93.8,126.6,23.4,852.1,992.6,56,60.2,422
475,118.8,181.1,8.9,852.1,781.5,56,72.3,486
469,117.2,137.8,32.2,852.1,840.5,56,69.3,525
388.6,97.1,157.9,12.1,852.1,925.7,56,55.2,412
318.8,212.5,155.7,14.3,852.1,880.4,56,66.1,357
401.8,94.7,147.4,11.4,946.8,852.1,56,73.7,424
362.6,189,164.9,11.6,944.7,755.8,56,77.3,391
323.7,282.8,183.8,10.3,942.7,659.9,56,80.2,356
379.5,151.2,153.9,15.9,1134.3,605,56,54.9,413
362.6,189,164.9,11.6,944.7,755.8,56,77.3,391
286.3,200.9,144.7,11.2,1004.6,803.7,56,72.99,321
439,177,186,11.1,884.9,707.9,56,71.7,459
389.9,189,145.9,22,944.7,755.8,56,79.4,436
362.6,189,164.9,11.6,944.7,755.8,56,77.3,391
337.9,189,174.9,9.5,944.7,755.8,56,59.89,364
374,189.2,170.1,10.1,926.1,756.7,91,64.9,398
313.3,262.2,175.5,8.6,1046.9,611.8,91,66.6,343
425,106.3,153.5,16.5,852.1,887.1,91,65.2,455
425,106.3,151.4,18.6,936,803.7,91,66.7,459
375,93.8,126.6,23.4,852.1,992.6,91,62.5,422
475,118.8,181.1,8.9,852.1,781.5,91,74.19,486
469,117.2,137.8,32.2,852.1,840.5,91,70.7,525
388.6,97.1,157.9,12.1,852.1,925.7,91,57.6,412
318.8,212.5,155.7,14.3,852.1,880.4,91,68.1,357
401.8,94.7,147.4,11.4,946.8,852.1,91,75.5,425
362.6,189,164.9,11.6,944.7,755.8,91,79.3,391
379.5,151.2,153.9,15.9,1134.3,605,91,56.5,413
362.6,189,164.9,11.6,944.7,755.8,91,79.3,391
286.3,200.9,144.7,11.2,1004.6,803.7,91,76.8,321
439,177,186,11.1,884.9,707.9,91,73.3,459
389.9,189,145.9,22,944.7,755.8,91,82.6,436
362.6,189,164.9,11.6,944.7,755.8,91,79.3,391
337.9,189,174.9,9.5,944.7,755.8,91,67.8,364
315,137,145,5.9,1130,745,28,81.75,336
450.1,50,200,3,1124.4,613.2,28,39.38,450
200,200,190,0,1145,660,28,49.25,220
234,156,189,5.9,981,760,28,39.3,260
285,190,163,7.6,1031,685,28,53.58,312
356,119,160,9,1061,657,28,59,377
158.8,238.2,185.7,0,1040.6,734.3,7,9.62,183
239.6,359.4,185.7,0,941.6,664.3,7,25.42,262
238.2,158.8,185.7,0,1040.6,734.3,7,15.69,253
181.9,272.8,185.7,0,1012.4,714.3,28,27.94,206
193.5,290.2,185.7,0,998.2,704.3,28,32.63,217
255.5,170.3,185.7,0,1026.6,724.3,7,17.24,269
272.8,181.9,185.7,0,1012.4,714.3,7,19.77,286
239.6,359.4,185.7,0,941.6,664.3,28,39.44,262
220.8,147.2,185.7,0,1055,744.3,28,25.75,237
210.7,316.1,185.7,0,977,689.3,7,21.82,234
158.8,238.2,185.7,0,1040.6,734.3,28,21.07,183
255.5,170.3,185.7,0,1026.6,724.3,28,32.05,269
203.5,135.7,185.7,0,1076.2,759.3,7,11.96,221
228,342.1,185.7,0,955.8,674.3,28,39.7,250
220.8,147.2,185.7,0,1055,744.3,7,13.09,237
316.1,210.7,185.7,0,977,689.3,28,38.7,326
135.7,203.5,185.7,0,1076.2,759.3,7,7.51,161
135.7,203.5,185.7,0,1076.2,759.3,28,18.2,161
193.5,290.2,185.7,0,998.2,704.3,7,17.2,217
203.5,135.7,185.7,0,1076.2,759.3,28,22.63,221
290.2,193.5,185.7,0,998.2,704.3,7,21.86,302
181.9,272.8,185.7,0,1012.4,714.3,7,12.37,206
170.3,155.5,185.7,0,1026.6,724.3,28,25.73,190
210.7,316.1,185.7,0,977,689.3,28,37.81,234
228,342.1,185.7,0,955.8,674.3,7,21.92,250
290.2,193.5,185.7,0,998.2,704.3,28,33.04,302
238.2,158.8,185.7,0,1040.6,734.3,28,26.91,253
186.2,124.1,185.7,0,1083.4,764.3,7,8,204
316.1,210.7,185.7,0,977,689.3,7,24.44,326
186.2,124.1,185.7,0,1083.4,764.3,28,17.6,204
170.3,155.5,185.7,0,1026.6,724.3,7,10.73,190
272.8,181.9,185.7,0,1012.4,714.3,28,31.38,286
203.5,305.3,203.5,0,963.4,630,7,19.54,221
250.2,166.8,203.5,0,977.6,694.1,90,47.71,263
157,236,192,0,935.4,781.2,90,43.38,181
141.3,212,203.5,0,971.8,748.5,28,29.89,165
166.8,250.2,203.5,0,975.6,692.6,3,6.9,190
122.6,183.9,203.5,0,958.2,800.1,90,33.19,147
183.9,122.6,203.5,0,959.2,800,3,4.9,201
102,153,192,0,887,942,3,4.57,127
102,153,192,0,887,942,90,25.46,127
122.6,183.9,203.5,0,958.2,800.1,28,24.29,147
166.8,250.2,203.5,0,975.6,692.6,28,33.95,190
200,133,192,0,965.4,806.2,3,11.41,217
108.3,162.4,203.5,0,938.2,849,28,20.59,133
305.3,203.5,203.5,0,965.4,631,7,25.89,315
108.3,162.4,203.5,0,938.2,849,90,29.23,133
116,173,192,0,909.8,891.9,90,31.02,141
141.3,212,203.5,0,971.8,748.5,7,10.39,165
157,236,192,0,935.4,781.2,28,33.66,181
133,200,192,0,927.4,839.2,28,27.87,158
250.2,166.8,203.5,0,977.6,694.1,7,19.35,263
173,116,192,0,946.8,856.8,7,11.39,191
192,288,192,0,929.8,716.1,3,12.79,215
192,288,192,0,929.8,716.1,28,39.32,215
153,102,192,0,888,943.1,3,4.78,172
288,192,192,0,932,717.8,3,16.11,299
305.3,203.5,203.5,0,965.4,631,28,43.38,315
236,157,192,0,972.6,749.1,7,20.42,252
173,116,192,0,946.8,856.8,3,6.94,191
212,141.3,203.5,0,973.4,750,7,15.03,227
236,157,192,0,972.6,749.1,3,13.57,250
183.9,122.6,203.5,0,959.2,800,90,32.53,201
166.8,250.2,203.5,0,975.6,692.6,7,15.75,190
102,153,192,0,887,942,7,7.68,127
288,192,192,0,932,717.8,28,38.8,299
212,141.3,203.5,0,973.4,750,28,33,227
102,153,192,0,887,942,28,17.28,127
173,116,192,0,946.8,856.8,28,24.28,191
183.9,122.6,203.5,0,959.2,800,28,24.05,201
133,200,192,0,927.4,839.2,90,36.59,158
192,288,192,0,929.8,716.1,90,50.73,215
133,200,192,0,927.4,839.2,7,13.66,158
305.3,203.5,203.5,0,965.4,631,3,14.14,315
236,157,192,0,972.6,749.1,90,47.78,250
108.3,162.4,203.5,0,938.2,849,3,2.33,133
157,236,192,0,935.4,781.2,7,16.89,181
288,192,192,0,932,717.8,7,23.52,299
212,141.3,203.5,0,973.4,750,3,6.81,227
212,141.3,203.5,0,973.4,750,90,39.7,227
153,102,192,0,888,943.1,28,17.96,172
236,157,192,0,972.6,749.1,28,32.88,250
116,173,192,0,909.8,891.9,28,22.35,141
183.9,122.6,203.5,0,959.2,800,7,10.79,201
108.3,162.4,203.5,0,938.2,849,7,7.72,133
203.5,305.3,203.5,0,963.4,630,28,41.68,226
203.5,305.3,203.5,0,963.4,630,3,9.56,226
133,200,192,0,927.4,839.2,3,6.88,158
288,192,192,0,932,717.8,90,50.53,299
200,133,192,0,965.4,806.2,7,17.17,217
200,133,192,0,965.4,806.2,28,30.44,217
250.2,166.8,203.5,0,977.6,694.1,3,9.73,263
122.6,183.9,203.5,0,958.2,800.1,3,3.32,147
153,102,192,0,888,943.1,90,26.32,172
200,133,192,0,965.4,806.2,90,43.25,217
116,173,192,0,909.8,891.9,3,6.28,141
173,116,192,0,946.8,856.8,90,32.1,191
250.2,166.8,203.5,0,977.6,694.1,28,36.96,263
305.3,203.5,203.5,0,965.4,631,90,54.6,315
192,288,192,0,929.8,716.1,7,21.48,215
157,236,192,0,935.4,781.2,3,9.69,181
153,102,192,0,888,943.1,7,8.37,172
141.3,212,203.5,0,971.8,748.5,90,39.66,165
116,173,192,0,909.8,891.9,7,10.09,141
141.3,212,203.5,0,971.8,748.5,3,4.83,165
122.6,183.9,203.5,0,958.2,800.1,7,10.35,147
166.8,250.2,203.5,0,975.6,692.6,90,43.57,190
203.5,305.3,203.5,0,963.4,630,90,51.86,226
304,140,214,6,895,722,28,33.42,323
153,239,200,6,1002,684,28,26.86,188
310,143,168,10,914,804,28,45.3,337
321,164,190,5,870,774,28,57.21,338
366,187,191,7,824,757,28,65.91,384
156,243,180,11,1022,698,28,37.36,201
326,166,174,9,882,790,28,61.23,351
322,149,186,8,951,709,28,52.42,344
288,121,177,7,908,829,28,42.13,310
160,250,168,12,1049,688,28,39.45,207
166,260,183,13,859,827,28,37.91,215
159,187,176,11,990,789,28,32.76,202
155,183,193,9,1047,697,28,18.28,194
146,230,202,3,827,872,28,33.06,176
133,210,196,3,949,795,28,31.03,164
313,145,178,8,867,824,28,44.39,336
149,236,176,13,847,893,28,32.96,198
153,145,178,8,1000,822,28,19.01,189
313,161,178,10,917,759,28,52.44,340
284,120,168,7,970,794,28,40.93,307
150,237,174,12,1069,675,28,37.43,197
331,170,195,8,811,802,28,56.61,353
155,183,193,9,877,868,28,23.79,194
313,145,127,8,1000,822,28,44.52,337
146,173,182,3,986,817,28,23.74,174
313,145,178,8,1002,689,28,41.05,336
289,134,195,6,924,760,28,46.24,309
148,175,171,2,1000,828,28,26.92,175
154.8,183.4,193.3,9.1,1047.4,696.7,28,18.29,194
145.9,230.5,202.5,3.4,827,871.8,28,32.72,176
133.1,210.2,195.7,3.1,949.4,795.3,28,28.94,164
313.3,145,178.5,8,867.2,824,28,40.93,336
149.5,236,175.8,12.6,846.8,892.7,28,32.96,197
152.7,144.7,178.1,8,999.7,822.2,28,19.01,189
312.9,160.5,177.6,9.6,916.6,759.5,28,52.45,339
284,119.7,168.3,7.2,970.4,794.2,28,40.93,307
150,236.8,173.8,11.9,1069.3,674.8,28,37.43,193
330.5,169.6,194.9,8.1,811,802.3,28,56.62,353
154.8,183.4,193.3,9.1,877.2,867.7,28,23.79,194
312.7,144.7,127.3,8,999.7,822.2,28,44.52,337
145.7,172.6,181.9,3.4,985.8,816.8,28,23.74,175
313.3,145,178.5,8,1001.9,688.7,28,41.05,336
289,133.7,194.9,5.5,924.1,760.1,28,46.25,308
147.8,175.1,171.2,2.2,1000,828.5,28,26.92,175
303.6,139.9,213.5,6.2,895.5,722.5,28,33.42,323
152.6,238.7,200,6.3,1001.8,683.9,28,26.86,188
310,142.8,167.9,10,914.3,804,28,45.3,337
321.3,164.2,190.5,4.6,870,774,28,57.22,337
366,187,191.3,6.6,824.3,756.9,28,65.91,383
155.6,243.5,180.3,10.7,1022,697.7,28,37.36,200
325.6,166.4,174,8.9,881.6,790,28,61.24,350
322.5,148.6,185.8,8.5,951,709.5,28,52.43,345
288.4,121,177.4,7,907.9,829.5,28,42.14,310
159.8,250,168.4,12.2,1049.3,688.2,28,39.46,207
166,259.7,183.2,12.7,858.8,826.8,28,37.92,214
159.1,186.7,175.6,11.3,989.6,788.9,28,32.77,203
